Company,# of posting,Skill
2Coms Consulting Pvt Ltd.,1,"CSS, MS SQL, Angular.js, JavaScript, HTML, JQuery, Oracle"
3D India Staffing Research Consulting Pvt Ltd,1,"bd, Sales, Regional Sales Manager, Regional Sales, Sales Management..."
A L B Enterprises (India) Private Limited,2,"Computer science, Email, Web development, Javascript, Agile, HTML...#####Computer science, Email, Coding, System integration, Web development..."
ACME College of Engineering,2,"sciences, bca, m sc, computer, b sc, information technology...#####sciences, bca, m sc, b sc, fluency in, mca, telecom, teaching"
ACS Global Tech Solutions Pvt. Ltd.,3,"Tax Planning, Tax Returns, Accounting, Direct Tax, Finance, Sales Tax...#####Tax Planning, Tax Returns, Accounting, Direct Tax, Finance, Sales Tax...#####Java, CSS, Rest, Design Patterns, Javascript, Spring Boot, HTML, J2Ee..."
ADLER SERVICES,1,"it hiring, IT Recruiter, IT Recruitment, technical recruitment, recruiter..."
ANTRA INFO SOLUTIONS PVT. LTD,2,"Use Cases, System Analysis, Business Process, Data Analysis...#####Zoho projects, Project Management, Zoho, Project Manager..."
ARISE SOFTWARE SOLUTIONS,1,"Technical product configuration, c++, development, C, application, design..."
"ATMECS Technologies Pvt., Ltd.",1,"JAVA, development, testing, Perl, script, MAVEN, automation, JUNIT..."
AXCESS CONSULTANCY SERVICES,3,"continuous integration, Spring mvc, Web services, Payment systems...#####MVVM, Agile development, Swift, ios development, Information technology#####Hibernate, Core Java, Web services, Analytical, Agile development..."
Aadvi Tech. Solutions,2,"Azure, DevOps, WebAPI, Cloud Services, .Net, Cloud Migration...#####Azure, DevOps, WebAPI, Cloud Services, .Net, Cloud Migration..."
Abhracloud Softwares India Private Ltd,1,"Change Management, Servicenow, ITSM, ITIL, Service Management..."
Achala IT Solutions,8,"IT services, Computer science, Software testing, Automobile, Architecture...#####IT services, Data dictionary, Dialog programming, Team leading...#####IT services, Business process, Data migration, Data modeling, Analytical...#####IT services, Supply chain, Computer science, ERP, Automation, Baan...#####IT services, Computer science, Software testing, Automobile, Architecture...#####IT services, Data dictionary, Dialog programming, Team leading...#####IT services, Business process, Data migration, Data modeling, Analytical...#####IT services, Supply chain, Computer science, ERP, Automation, Baan..."
Acme Professionals,1,"Purchase Executive, Acme, Campus recruitment, Interviewing..."
Adaequare Info Private Ltd.,2,"Product Development, Team Handling, Selling, Inside Sales...#####Inside Sales, Digital Transformation, product selling, Sales Management..."
Addon Technologies Inc.,1,"Staffing, Information technology management, Management"
"Advanced Micro Devices, Inc.",4,"Graphics, high performance computing, Windows, Information technology...#####Telecom, Networking, WAN, Network security, CCNA, Troubleshooting...#####Unix, Graphics, Automation, Linux, Chip design, Shell scripting, CAD...#####Telecom, Networking, WAN, Network security, CCNA, Troubleshooting..."
Aegan Technologies pvt ltd,1,"Hibernate, JCL, Db2, Data modeling, Cobol, Shell scripting, TIBCO..."
Aelfric Solutions,2,"Business Intelligence, Database Schema, SSAS, SSRS, Microsoft BI stack...#####MSBI Developer, SSAS, SSRS, MSBI, SQL Server, Data Modeling, SSIS..."
Affluent Global Services,1,"Automation Engineer, server automation"
Affluent Global Services Pvt. Ltd.,5,"technical writer, content strategist, sharepoint, structural design...#####docummentation, editor, technical writer...#####powershell, Packaging, SCCM, deployment#####powershell, powerCLI, server automation, windows server, deployment#####powershell, powerCLI, server automation, windows server, deployment"
Aim Computer Consulting,1,"Implementation partner, contract staffing, team management, Tier1 vendors..."
Aizant Global Analytics,1,"Healthcare, Life sciences, Operations, Technical documentation"
Aizant Global Analytics Pvt Ltd,1,"FRS, Ddlc, Documentation, URS, tech writing, Technical Writing..."
Alien Technology Transfer,1,"algorithms, development, Prototype, code, technical, level..."
Allegis Services India Pvt. Ltd.,6,"Networking, Subject Matter Expertise, Unified Communications, PBX...#####technical architecture, meeting solutions, unified communications, pbx...#####it security, design development, computer science, service management...#####technical architecture, meeting solutions, unified communications, pbx...#####senoir sql engineer, sql development, sr sql developer, sql consultant, adf...#####Infrastructure Management, Infrastructure Architecture"
Alliance Global Services IT India Pvt. Ltd.,1,"Solution architecture, Cloud computing, Production support..."
Altruista Health,6,"Team management, Business analysis, Conflict management, Analytical...#####Wireless, WAN, VPN, LAN, DNS, Network security, Troubleshooting...#####PMP, Project management, Javascript, Agile, HTML, Application development...#####Performance tuning, Log shipping, Sql Server 2008, MS SQL...#####ITIL certified, Unix, Computer science, Administration, Linux, microsoft...#####Change management, Business Analyst, Business analysis, Analytical..."
Amazon India Software Dev Centre Pvt Ltd,13,"Computer science, Cloud computing, Access management, Consulting, Presales,...#####Computer science, Automation, Architecture, Test scripts, Access management...#####Automation, Project management, MySQL, Test planning, Perl...#####Computer science, Automation, Architecture, Configuration management...#####Computer science, Automation, Architecture, Configuration management...#####Automation, Data modeling, Project management, Agile, Customer service...#####Computer science, Automation, Architecture, Project management...#####Automation, Data modeling, Project management, Agile, Customer service...#####Computer science, Architecture, Test planning, Performance optimization...#####Computer science, Automation, Architecture, Project management...#####Automation, Data modeling, Project management, Agile...#####IIS, Project management, Debugging, Javascript, Agile, WCF, microsoft...#####IIS, Project management, Debugging, Javascript, Agile, WCF, microsoft..."
Anantha Cyber Tech Pvt Limited,8,"Sales, Javascript, developer, Information technology#####spring, Spring mvc, Core Java, jQuery, Sales, java, PLSQL, developer, mvc...#####development, DOM, Deployment, Warehouse management, Information technology,...#####Maven, CVS, software, Back office, developing, Apache Tomcat...#####Sales, C, .net, developer, ASP.Net MVC, Information technology, SQL#####server, Hibernate, development, code, technical, Performance optimization...#####Sales, Technical Lead, J2Ee, Information technology#####Sales, Strategy development, Information technology, Recruitment"
Anewa Engineering Private limited,1,"oil, gas, petrochemical"
Anna IT Services,2,"Drupal, Opencart, Wordpress, MySQL, Technical Leadership...#####Drupal, Opencart, Wordpress, MySQL, Developer/, Technical Leadership..."
Anvayin Systems Pvt Ltd,5,"rest, development, css, html5, Eclipse, mobile, developing, HTML, bootstrap...#####server, development, UX, c, software, android, mobile, developing...#####rest, development, css, html5, Eclipse, mobile, developing, HTML, bootstrap...#####server, development, UX, c, software, android, mobile, developing...#####software, HTML, it, SQL, jQuery, usability, application, Coding, web, MySQL..."
Apex Covantage India Pvt Ltd,1,"process, Publishing, XML, Content, Media, .Net, developer, Data mining, net..."
Apogee Services Private Limited,1,"Core Java, Design Patterns, Cq5, Javascript, Aem, Bootstrap, JQuery, ExtJS,..."
Apps Associates (I) Pvt. Ltd,1,"Risk Mitigation, Operational Excellence, Project Management..."
Associated Recruitment & Management Services Pvt Ltd,1,"Agile Methodology, PMP, Business Solutions, Project Management..."
Atos Pvt Ltd,1,"BPO, Printing, TSO, Application support, Consulting, Scheduling, Operations..."
Atria Convergence Technologies Ltd,2,"Enterprise Architecture, pmp, delivery manager, project manager...#####Enterprise Architecture, pmp, delivery manager, project manager..."
Augusta Infotech,1,"C, Customer focus, Written communication, Programming, Presalesmicrosoft..."
AutoRABIT,1,"Computer science, Web technologies, devops, IT support, Salesforce.com..."
Axelta Systems Pvt.Ltd,5,"Wireless, EMI, Automation, C++, Online marketing, EMC, Power supply...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC..."
Ayan Consultancy,2,"Project analysis, Project management, Application programming, Budgeting...#####Project analysis, Project management, Budgeting, Information technology"
BA Continuum India Pvt. Ltd,1,CFA Fresher
BACentric Solutions,1,"Retail, performance, Ad, istering, analysis, sales"
BSS BUSINESS CONSULTANCY PRIVATE LIMITED,1,"Hibernate, Core Java, Stored Procedures, Eclipse, Subversion..."
Bedouin,3,"trading, trade finance, structured finance, deal structuring, syndication...#####trading, trade finance, structured finance, Lending, deal structuring...#####trading, trade finance, structured finance, Lending, deal structuring..."
Bharat Institutions- Division of Chinta Reddy,1,"Professor Activities, Communication Skills, Education, Providing Training..."
Bizacuity Solutions Pvt. Ltd.,1,"My SQL, MQ, Microservices design, PL - SQL, Batch processing, Microservices..."
Bizrights IP,4,"Team management, Sales, ISO 9001, Intellectual property, IPR, Service sales...#####Team management, Sales, ISO 9001, Business Development Manager...#####Team management, Sales, ISO 9001, Intellectual property, IPR, Service sales...#####Team management, Sales, ISO 9001, Business Development Manager..."
Bombay Swadeshi Stores Limite,1,"Sales, Stock Management, Stock Control, Store Management..."
Brainfuse,1,"Learning, education, Tutoring, mathematics, Online Tutor, Computer Science,..."
