,SOurce ID ,Source Name,Title,Author,Description,Content
0,techcrunch,TechCrunch,Jackson Square Ventures just closed its third fund with $193 million; here's how it plans to invest it,Connie Loizos,"Jackson Square Ventures (JSV), an eight-year-old, San Francisco-based early-stage venture firm that takes its name from the neighborhood in San Francisco where it’s headquartered, has closed its third fund with $193 million in capital commitments — a sizable …","Jackson Square Ventures (JSV), an eight-year-old, San Francisco-based early-stage venture firm that takes its name from the neighborhood in San Francisco where it’s headquartered, has closed its third fund with $193 million in capital commitments — a sizable … [+3492 chars]"
1,techcrunch,TechCrunch,"Announcing TechCrunch Robotics & AI on March 3, 2020 at UC Berkeley",Ned Desmond,"Robotics is back! We are excited to announce that on March 3 next year TechCrunch will host its fourth annual TC Sessions: Robotics & AI at UC Berkeley’s Zellerbach Hall. Last year, 1500 founders, technologists, engineering students and investors turned up fo…","Robotics is back! We are excited to announce that on March 3 next year TechCrunch will host its fourth annual TC Sessions: Robotics &amp; AI at UC Berkeleys Zellerbach Hall.
Last year, 1500 founders, technologists, engineering students and investors turned u… [+1801 chars]"
2,techcrunch,TechCrunch,"Uber lays off another ~350 across Eats, self-driving and other departments",Megan Rose Dickey,"Uber has just laid off around 350 employees across a variety of teams within the organization, marking what the company says is its third and final phase of layoffs of the process it began earlier this year, Uber CEO Dara Khosrowshahi said to employees today …","Uber has just laid off around 350 employees across a variety of teams within the organization, marking what the company says is its third and final phase of layoffs of the process it began earlier this year, Uber CEO Dara Khosrowshahi said to employees today … [+5597 chars]"
3,techcrunch,TechCrunch,Founder’s guide to the pre-IPO secondary market,Ryan Conner,"The increase in activity in the pre-IPO secondary market means that founders, early employees, and investors are receiving liquidity much sooner in a company’s lifecycle than ever before...","The increase in activity in the pre-IPO secondary market means that founders, early employees, and investors are receiving liquidity much sooner in a companys lifecycle than ever before. For most startups and privately held companies, liquidity is often an is… [+918 chars]"
4,techcrunch,TechCrunch,Daily Crunch: Facebook has a weak stance on political ads,Anthony Ha,"The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 9am Pacific, you can subscribe here. 1. Facebook should ban campaign ads. End the lies. Facebook recently…","The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 9am Pacific, you can subscribe here.
1. Facebook should ban campaign ads. End the lies.
Facebook recent… [+2325 chars]"
5,techcrunch,TechCrunch,Shipping giant Pitney Bowes hit by ransomware,Zack Whittaker,"Shipping tech giant Pitney Bowes has confirmed a cyberattack on its systems. The company said in a statement that its systems were hit by a “malware attack that encrypted information” on its systems, more commonly known as ransomware. “At this time, the compa…","Shipping tech giant Pitney Bowes has confirmed a cyberattack on its systems.
The company said in a statement that its systems were hit by a “malware attack that encrypted information” on its systems, more commonly known as ransomware.
“At this time, the com… [+1622 chars]"
6,techcrunch,TechCrunch,Disney+ tweets all the movies and shows coming to its streaming service,Sarah Perez,"In an impressive bit of pre-launch marketing, Disney today announced basically every movie and TV show coming to its upcoming streaming service Disney+ by way of a massive Twitter thread. The thread, which was posted in chronological order starting with Snow …","In an impressive bit of pre-launch marketing, Disney today announced basically every movie and TV show coming to its upcoming streaming service Disney+ by way of a massive Twitter thread. The thread, which was posted in chronological order starting with Snow … [+2225 chars]"
7,techcrunch,TechCrunch,Google updates its Titan security keys with USB-C,Zack Whittaker,Google has revealed its latest Titan security key — and it’s now compatible with USB-C devices. The latest Titan key arrives just weeks after its closest market rival Yubico — which also manufactures the Titan security key for Google — released its own USB-C …,"Google has revealed its latest Titan security key and it’s now compatible with USB-C devices.
The latest Titan key arrives just weeks after its closest market rival Yubico which also manufactures the Titan security key for Google released its own USB-C and L… [+942 chars]"
8,techcrunch,TechCrunch,Fortnite's black hole stunt is the kind of alpha energy we're here for,Jordan Crook,"As you are likely already aware, Epic Games is pulling a massive PR stunt that has shrunk the world’s most popular game down to a single black hole. As part of Fortnite’s Season 10 live event, called “The End”, the entire Battle Royale Island was sucked into …","As you are likely already aware, Epic Games is pulling a massive PR stunt that has shrunk the world’s most popular game down to a single black hole.
As part of Fortnite’s Season 10 live event, called “The End”, the entire Battle Royale Island was sucked into… [+5553 chars]"
9,techcrunch,TechCrunch,India's Reliance Jio unveils video call assistant to help businesses automate customer support,Manish Singh,"Before Google moves to bring its human-sounding robot calling service Duplex to help users automate their interactions with businesses to international markets, an Indian giant is deploying its own solution to get a jumpstart on the local market. Reliance Jio…","Before Google moves to bring its human-sounding robot calling service Duplex to help users automate their interactions with businesses to international markets, an Indian giant is deploying its own solution to get a jumpstart on the local market.
Reliance Ji… [+3352 chars]"
